"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Member Of Parliament","Constituency","Completed Date","Image","Average Rating","FINAL AMOUNT ( ₹ )"
"862","Normal/Others","WS/MP18109/2024-2025/150205-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KUCHWAHI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"863","Normal/Others","WS/MP18109/2024-2025/150206-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","MARSARHA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"864","Normal/Others","WS/MP18109/2024-2025/150207-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","NAKJHAR KALA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"865","Normal/Others","WS/MP18109/2024-2025/150208-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","PAMARIYA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"866","Normal/Others","WS/MP18109/2024-2025/150209-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","RAMDIH BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"867","Normal/Others","WS/MP384/2024-2025/150664-Construction of common work sheds/ common covered sitting area","Rajasthan","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Sant Sri Ladhunath Ji Maharaj ki Samadhi ke paas tin shed nirman karya Masoori, Panchayat Samiti Nokha ; Working Agency :  Gram Panchayat Masoori","Shri Arjun Ram Meghwal","BIKANER(SC)","04-Oct-2025","Images","N/A","19,18,700"
"868","Normal/Others","WS/MP18335/2024-2025/150745-Construction of common work sheds/ common covered sitting area","Chhattisgarh","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","Construction of shed","RADHE SHYAM RATHIYA","RAIGARH(ST)","05-Mar-2026","Images","N/A","7,00,000"
"869","Normal/Others","WS/MP18064/2024-2025/150853-Construction of common work sheds/ common covered sitting area","Haryana","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","Construction of iron/tin shed in Brahman Dharamshala","NAVEEN JINDAL","KURUKSHETRA","21-Jul-2025","Images","N/A","1,80,319"
"870","Normal/Others","WS/MP18064/2025-2026/150858-Construction of common work sheds/ common covered sitting area","Haryana","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Construction of iron/tin shed in Gurjar Dharamshala","NAVEEN JINDAL","KURUKSHETRA","12-Mar-2026","N/A","N/A","1,19,485"
"871","Normal/Others","WS/MP18064/2025-2026/150859-Construction of common work sheds/ common covered sitting area","Haryana","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Construction of iron/tin Shed near Dadakhera","NAVEEN JINDAL","KURUKSHETRA","12-Mar-2026","N/A","N/A","3,86,856"
"872","Normal/Others","WS/MP761/2024-2025/150990-Construction of common work sheds/ common covered sitting area","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Artisan Shed near Panchamukhi Lingeshwara Mandir at Sirpur(v)","Arvind Dharmapuri","NIZAMABAD","10-Sep-2024","N/A","N/A","3,00,000"
"873","Normal/Others","WS/MP18051/2024-2025/151163-Construction of common work sheds/ common covered sitting area","Chhattisgarh","MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA)","KARIGARON KE LIYE SAMANYA WORK SHED NIRMAN","ROOP KUMARI CHOUDHARY","MAHASAMUND","03-Jun-2025","Images","N/A","15,00,000"
"874","Normal/Others","WS/MP585/2025-2026/151164-Construction of common work sheds/ common covered sitting area","Gujarat","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Construction of Shed and flooring work near Panchayat at Motipura (Sadra) Village","Hasmukh Bhai Soma Bhai Patel","AHMEDABAD EAST","03-Nov-2025","Images","N/A","4,95,000"
"875","Normal/Others","WS/MP761/2024-2025/151474-Construction of common work sheds/ common covered sitting area","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Artisan Shed near Mestri Narsaiah House at Div 15","Arvind Dharmapuri","NIZAMABAD","04-Apr-2024","N/A","N/A","4,94,999"
"876","Normal/Others","WS/MP18100/2024-2025/151651-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","GP Gondra Ke Samarboh Main KalaMunch Main Teen shed Nirman","BUNTY VIVEK SAHU","CHHINDWARA","30-Jan-2026","N/A","N/A","1,50,000"
"877","Normal/Others","WS/MP18100/2024-2025/151652-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","GP ke Bhainsadund Addl. Construction work","BUNTY VIVEK SAHU","CHHINDWARA","30-Jan-2026","N/A","N/A","1,50,000"
"878","Normal/Others","WS/MP429/2024-2025/151722-Construction of common work sheds/ common covered sitting area","Chhattisgarh","KORBA(Collector-Korba)","Construction of shed in Diprapara, Gram Silli, Vikaskhand - Pali","Jyotsna Charandas Mahant","KORBA","29-Jul-2025","Images","N/A","4,00,000"
"879","Normal/Others","WS/MP429/2024-2025/151724-Construction of common work sheds/ common covered sitting area","Chhattisgarh","KORBA(Collector-Korba)","Shed construction in Mohla Ingadai in Gram - Bhandarkhol , Vikaskhand - Pali","Jyotsna Charandas Mahant","KORBA","25-Apr-2025","Images","N/A","3,99,708"
"880","Normal/Others","WS/MP18265/2025-2026/151993-Construction of common work sheds/ common covered sitting area","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Construction of waiting hall at Agaram, Thangalikuppam village","M.K. VISHNUPRASAD","CUDDALORE","22-Jan-2026","Images","N/A","9,98,986"
"881","Normal/Others","WS/MP18039/2025-2026/152022-Construction of common work sheds/ common covered sitting area","Bihar","KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA)","shasid prabhu narayan park (bargad per ke pas) baithka ka nirman","RAJESH VERMA","KHAGARIA","12-Sep-2025","N/A","N/A","3,95,013"
"882","Normal/Others","WS/MP18049/2024-2025/152161-Construction of common work sheds/ common covered sitting area","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Shed Nirman Govt.H.S.S. Banabel","TOKHAN SAHU","BILASPUR","19-Jan-2026","Images","N/A","5,00,000"
"883","Normal/Others","WS/MP18321/2024-2025/152533-Construction of common work sheds/ common covered sitting area","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Shed work near Ramdevpir temple at Lalpur (Vavadi) village of Himmatnagar taluka","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","07-Aug-2025","Images","N/A","2,50,000"
"884","Normal/Others","WS/MP18321/2024-2025/152535-Construction of common work sheds/ common covered sitting area","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Construction of shed near vadi at Aminpur village of Prantij taluka","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","08-Dec-2025","Images","N/A","5,00,000"
"885","Normal/Others","WS/MP18313/2024-2025/153082-Construction of common work sheds/ common covered sitting area","Rajasthan","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","rajkiya varisth upaddhyay sanskrit school Surajgaon mein Dom Nirman Kary","RAJ KUMAR ROAT","BANSWARA(ST)","10-Feb-2026","Images","N/A","12,00,000"
"886","Normal/Others","WS/MP720/2024-2025/153659-Construction of common work sheds/ common covered sitting area","Rajasthan","CHITTORGARH(DISTRICT COLLECTOR CHITTORGARH_IDA)","GAV KARSANA ME BHARUJI KE MANDRIA KE PASS DOMA NIRMAN KARYA","Chandra Prakash Joshi","CHITTORGARH","19-Aug-2025","Images","N/A","2,94,955"
"887","Normal/Others","WS/MP18324/2024-2025/153737-Construction of common work sheds/ common covered sitting area","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Construction of shed for all workers near by Velnath Bapu's temple in Khambha village","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","07-Jan-2026","N/A","N/A","2,00,000"
"888","Normal/Others","WS/MP18051/2024-2025/153789-Construction of common work sheds/ common covered sitting area","Chhattisgarh","MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA)","KARIGARON KE LIYE SAMANYA WORK SHED NIRMAN","ROOP KUMARI CHOUDHARY","MAHASAMUND","06-Oct-2025","N/A","N/A","10,00,000"
"889","Normal/Others","WS/MP18051/2024-2025/153822-Construction of common work sheds/ common covered sitting area","Chhattisgarh","MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA)","KARIGARON KE LIYE WORK SHED NIRMAN","ROOP KUMARI CHOUDHARY","MAHASAMUND","06-Oct-2025","N/A","N/A","10,00,000"
"890","Normal/Others","WS/MP585/2025-2026/154467-Construction of common work sheds/ common covered sitting area","Gujarat","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Construction of Metal Shed at Government Anganwadi No.2 at Tarapur Village","Hasmukh Bhai Soma Bhai Patel","AHMEDABAD EAST","03-Nov-2025","Images","N/A","1,50,000"
"891","Normal/Others","WS/MP585/2025-2026/154474-Construction of common work sheds/ common covered sitting area","Gujarat","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Construction of Metal Shed and Gate at Government Sub Health Center at Tarapur Village","Hasmukh Bhai Soma Bhai Patel","AHMEDABAD EAST","03-Nov-2025","Images","N/A","1,50,000"
"892","Normal/Others","WS/MP18108/2024-2025/154840-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Gram Panchayat Bhapel Me Laxman Sen Ke Ghar Ke pass Sarwjanik Sthal Par Karigro Ke Liye Samanya Shed Nirman Karya Hetu.","DR. LATA WANKHEDE","SAGAR","08-Dec-2025","Images","N/A","5,00,000"
"893","Normal/Others","WS/MP18064/2024-2025/154942-Construction of common work sheds/ common covered sitting area","Haryana","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","Construction of floor of paver block in Knowledge Centre","NAVEEN JINDAL","KURUKSHETRA","21-Jul-2025","Images","N/A","2,26,948"
"894","Normal/Others","WS/MP18064/2024-2025/155127-Construction of common work sheds/ common covered sitting area","Haryana","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","Construction of Iron/ Tin Shed in BC Chaupal","NAVEEN JINDAL","KURUKSHETRA","24-Sep-2025","Images","N/A","2,88,304"
"895","Normal/Others","WS/MP18064/2025-2026/155139-Construction of common work sheds/ common covered sitting area","Haryana","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","Construction of iron/Tin shed in park opp H.No. 1029 Sector 7 KKR","NAVEEN JINDAL","KURUKSHETRA","10-Nov-2025","Images","N/A","1,00,000"
"896","Normal/Others","WS/MP600/2024-2025/155281-Construction of common work sheds/ common covered sitting area","Jammu And Kashmir","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Construction of Public Sarah Shed near Kali Mata, Bann, Village- Bann, Ward no-1, P/o Swshwan, Teh.-Marheen, Block- Marheen, Dist-Kathua - 184144.","Jitendra Singh","UDHAMPUR","01-Mar-2025","Images","N/A","4,31,000"
"897","Normal/Others","WS/MP555/2024-2025/155554-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","nagar parishad narkatiyaganj ward 1 gopala brahm sthan ke pichhe mode se nadi ke pass tak nala k nirman kary","Sunil Kumar","VALMIKI NAGAR","12-Jul-2025","N/A","N/A","12,91,511"
"898","Normal/Others","WS/MP555/2025-2026/155561-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","nagar parishad narakatiyaganj ward 3 me asmohammad ke ghar se tafrul hayat ke ghar tak pcc sadak ka  nirman kary","Sunil Kumar","VALMIKI NAGAR","28-Feb-2026","N/A","N/A","4,87,599"
"899","Normal/Others","WS/MP555/2024-2025/155571-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","prakhand narkatiyaganj panchayat purainiya harsari ward 10 me srikant kushwaha ke khalihan se chhath ghat tak jane wale raste me pcc sadak ka nirman kary","Sunil Kumar","VALMIKI NAGAR","12-Jul-2025","N/A","N/A","10,91,470"
"900","Normal/Others","WS/MP555/2025-2026/155576-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","prakhand narkatiyaganj panchayat kukura ke triveni nahar par bane bahi aur pcc sadak ka nirman kary","Sunil Kumar","VALMIKI NAGAR","09-Jan-2026","N/A","N/A","6,98,202"
"901","Normal/Others","WS/MP555/2024-2025/155580-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","block loriya panchayt belwa lakhnpur gram lakhanpur men narad sah ke ghar se l leker dharmendr sah ke dukan tak pcc nirman","Sunil Kumar","VALMIKI NAGAR","12-Jul-2025","N/A","N/A","9,88,606"
"902","Normal/Others","WS/MP555/2024-2025/155581-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","prakhand lauriya panchayat mathiya gram dhangad toli ward 12 me jauri maai sthan par tails wala chabutra ka nirman kary","Sunil Kumar","VALMIKI NAGAR","12-Jul-2025","N/A","N/A","3,98,490"
"903","Normal/Others","WS/MP555/2025-2026/155582-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","prakhand lauriya panchayat dhobani dharmpur gram dhobni se chand barwa jane wale raste me pcc sadak ka nirman kary","Sunil Kumar","VALMIKI NAGAR","13-Jan-2026","N/A","N/A","7,89,773"
"904","Normal/Others","WS/MP555/2024-2025/155590-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","prakhand bagaha1 panchayat lagunaha chautarwa antargat kot maai sthan ke bagal me samudayik bhawan ka nirman kary","Sunil Kumar","VALMIKI NAGAR","08-Jan-2026","N/A","N/A","7,97,864"
"905","Normal/Others","WS/MP555/2024-2025/155618-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","prakhand bagah1 panchayat chandarpur ratwal  gram ratwal bhataiya  men jahri main sthan ke pass tails vala chbutra ka nirman kary","Sunil Kumar","VALMIKI NAGAR","05-Aug-2025","N/A","N/A","3,98,082"
"906","Normal/Others","WS/MP555/2025-2026/155622-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","prakhand bagaha 1 nagar prishad ward number 25gudiya patti prathmik vidyaly ke prangan men tails wala chabutra ka nirman kary","Sunil Kumar","VALMIKI NAGAR","05-Dec-2025","N/A","N/A","3,95,594"
"907","Normal/Others","WS/MP555/2025-2026/155625-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","parkhand bagaha 2panchayat barwal  gram turki ward number 15 men prathmik vidalay ke bagal men sidhi ghat ka nirman karya","Sunil Kumar","VALMIKI NAGAR","13-Feb-2026","N/A","N/A","5,99,864"
"908","Normal/Others","WS/MP555/2025-2026/155637-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","prakhand madhubani panchayat daunaha gram murgahwa me thakur sri ram janki madur ke bagal me samudayik bhawan ka nirman kary","Sunil Kumar","VALMIKI NAGAR","10-Feb-2026","N/A","N/A","7,90,199"
"909","Normal/Others","WS/MP555/2025-2026/155647-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","prakhand bhitaha panchayat hathiyawa wad 9 me tails wala chabutra ka nirman kary","Sunil Kumar","VALMIKI NAGAR","05-Dec-2025","N/A","N/A","3,96,854"
"910","Normal/Others","WS/MP555/2025-2026/155649-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","prakhand thakraha panchayat srinagar ward 15 me baliram prasad ke ghar ke pass samudayik bhavan ka nirman kary","Sunil Kumar","VALMIKI NAGAR","10-Feb-2026","N/A","N/A","8,95,129"
"911","Normal/Others","WS/MP555/2024-2025/155793-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","prakhand ramnagar panchayat sonkhar gram badgo ke balushahiya pokhra par sidhi ghat ka nirman kary","Sunil Kumar","VALMIKI NAGAR","17-Jul-2025","N/A","N/A","5,97,558"
"912","Normal/Others","WS/MP555/2025-2026/155803-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","prakhand ramnagar panchayat dhokraha gram naugawa pokhra  par sidhi ghat ka nirman kary","Sunil Kumar","VALMIKI NAGAR","17-Jul-2025","N/A","N/A","6,97,409"
"913","Normal/Others","WS/MP555/2024-2025/155814-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","prakhand ramanagar panchayat sabea gram manguraha me uday kushwaha ke ghar se le kar kishor mahto ke ghar tak pcc sadak ka nirman kary l","Sunil Kumar","VALMIKI NAGAR","17-Jul-2025","N/A","N/A","3,99,097"
"914","Normal/Others","WS/MP555/2025-2026/155830-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","prakhand gaunaha panchayat lakshnauta gram pachrukhiya chowk ke pass sri katti mai sthan ke bagal me  sarvjnik park ka sondryikarn","Sunil Kumar","VALMIKI NAGAR","08-Jan-2026","N/A","N/A","7,98,239"
"915","Normal/Others","WS/MP555/2025-2026/155838-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","prakhand sikta panchayat baishakhwa gram jhakhra ganeshpur me bramh sthan ke shiv mandir  ke bagal men  taails vala chabutra ka nirman kary","Sunil Kumar","VALMIKI NAGAR","13-Jan-2026","N/A","N/A","3,99,065"
"916","Normal/Others","WS/MP555/2025-2026/155863-Construction of common work sheds/ common covered sitting area","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","prakhand mainatar panchayat mahuawa sagrauwa gram mahuawa ke bramh sthan ke bagal men taails vala chabuta ka nirman kary","Sunil Kumar","VALMIKI NAGAR","24-Jan-2026","N/A","N/A","3,98,926"
"917","Normal/Others","WS/MP584/2024-2025/156042-Construction of common work sheds/ common covered sitting area","Gujarat","KACHCHH(DISTRICT COLLECTOR KUTCH_IDA)","MANDAVI TALUKA NA HALAPAR GAME VISHNU SAMAJ NI SAMAJVADI PASE KARIGAR COMMEN WORK SHED","Vinod Chavda","KACHCHH(SC)","30-Jul-2025","Images","N/A","4,00,000"
"918","Normal/Others","WS/MP18170/2024-2025/156352-Construction of common work sheds/ common covered sitting area","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Tin shed construction work Government Higher Secondary School Bheema","AMRARAM","SIKAR","03-Sep-2025","Images","N/A","5,99,438"
"919","Normal/Others","WS/MP18058/2024-2025/156611-Construction of common work sheds/ common covered sitting area","Gujarat","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Jarod kumar parthmik sada ma shed banavva ni kamgiri","DR. HEMANG JOSHI","VADODARA","21-Jul-2025","N/A","N/A","5,00,000"
"920","Normal/Others","WS/MP18058/2024-2025/156612-Construction of common work sheds/ common covered sitting area","Gujarat","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Kotwali gam mi balwadi ma shed ni kamgiri","DR. HEMANG JOSHI","VADODARA","07-Mar-2025","N/A","N/A","3,00,000"
"921","Normal/Others","WS/MP18064/2025-2026/156700-Construction of common work sheds/ common covered sitting area","Haryana","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Construction of Iron/tin shed in Gram Sachivalya (30*45)","NAVEEN JINDAL","KURUKSHETRA","10-Mar-2026","Images","N/A","3,29,999"
"922","Normal/Others","WS/MP18064/2025-2026/156703-Construction of common work sheds/ common covered sitting area","Haryana","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Construction of Iron/tin shed in Tagoria Patti Chaupal (30*45)","NAVEEN JINDAL","KURUKSHETRA","10-Mar-2026","Images","N/A","3,29,040"
"923","Normal/Others","WS/MP18064/2025-2026/156704-Construction of common work sheds/ common covered sitting area","Haryana","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Construction of Iron/tin shed near dhobi talab  (30*45)","NAVEEN JINDAL","KURUKSHETRA","10-Mar-2026","N/A","N/A","2,92,862"
